tweet_id,text,favorite_count,retweet_count,created_at
1389554406455234561,India has become the second country in the world after the United States to pass the 20 million coronavirus cases m… https://t.co/fsusGKSwAT,176,89,Tue May 04 12:16:01 +0000 2021
1389554192671551490,"‘Last resort’: Desperate for oxygen, Indian hospitals go to court https://t.co/TUxTcag4fo https://t.co/h1qkxw9F6W",110,49,Tue May 04 12:15:10 +0000 2021
1389554192654618625,It’s at $0.52. https://t.co/bWVAmXFzGZ,51,1,Tue May 04 12:15:10 +0000 2021
1389554182416371715,"CVS’s profit rose for the latest quarter, partly driven by gains from the rollout of Covid-19 vaccines https://t.co/PCcqrsmpEf",54,18,Tue May 04 12:15:08 +0000 2021
1389554178364776451,One of Italy’s most renowned contemporary art museums is providing a vaccination experience with a difference. Peop… https://t.co/9pxW65Zvdd,355,70,Tue May 04 12:15:07 +0000 2021
1389554148664872963,"Australian Prime Minister Scott Morrison, under pressure to overturn rules barring travel from COVID-ravaged India,… https://t.co/MsAggxHqLh",47,28,Tue May 04 12:15:00 +0000 2021
1389554107996905474,"Dalian Atkinson murdered in street by police officer, jury hears https://t.co/92bkO1Ja3N",75,83,Tue May 04 12:14:50 +0000 2021
1389553997443334150,"30N/36 Alert: Due to construction, buses to Friendship Hts/Potomac Pk detour on Naylor Rd SE at Southern Ave resumi… https://t.co/y2PcOFeTF2",0,0,Tue May 04 12:14:24 +0000 2021
1389553876060233728,"RT @JohnHMcWhorter: Thank you to ⁦@TheAtlantic⁩ for publishing this excerpt from the introduction to NINE NASTY WORDS, officially out today…",0,26,Tue May 04 12:13:55 +0000 2021
1389553861111783428,"Caitlyn Jenner, the former Olympic decathlete and reality TV personality now running for California governor, brand… https://t.co/xk5edl4qQF",32,12,Tue May 04 12:13:51 +0000 2021
1389553859169763329,Stormy weather and Alster swans: Tuesday’s best photos https://t.co/FLtoJfygOA,29,6,Tue May 04 12:13:51 +0000 2021
1389553662524108803,"Ted Cruz rips new ""Humans of CIA"" video: ""We've come a long way from Jason Bourne"" https://t.co/Jij6lg7fLX https://t.co/V6eDojS72o",54,6,Tue May 04 12:13:04 +0000 2021
1389553659877462020,Covid-19 “super-immune” people seem to be in a high concentration in an Italian village. Researchers want to know w… https://t.co/ykX2WpK5lz,84,34,Tue May 04 12:13:03 +0000 2021
1389552980840656902,"RT @ReenaAdvani: “Trauma is not finite,”@AnjaliEnjeti tells @NPRInskeep: https://t.co/44SNPMzZhk",0,10,Tue May 04 12:10:21 +0000 2021
1389552917162627075,Senior Swiss diplomat in Iran found dead after fall from high-rise https://t.co/6igS74Hzeu https://t.co/vJdI1PElxK,75,49,Tue May 04 12:10:06 +0000 2021
1389552908883083266,"""Biden seems intent on repeating the same mistakes of Jimmy Carter"" (@TheHillOpinion) https://t.co/cAP8zSPCIz https://t.co/OmkQsnMjZ2",65,17,Tue May 04 12:10:04 +0000 2021
1389552711012687873,"RT @NafyadWakjira: #Free, democratic &amp;Peaceful transition is the start of a new hope &amp; national healing for Ethiopians #EthiopiaPrevails @E…",0,8,Tue May 04 12:09:17 +0000 2021
1389552668834738178,"The young woman trying to adopt her friend
https://t.co/IrotOmYbf4",273,51,Tue May 04 12:09:07 +0000 2021
